KEY,SKEY,AAF1,CBAA_1
100000247,197100000751,1,4
100000248,197100000791,1,4
100000249,197100000687,1,1
100000250,197100000899,2,3
100000251,197100000804,1,4
100000252,197100000773,1,2
100000253,197100000828,2,3
100000254,197100000100,2,3
100000256,197100000205,2,4
100000257,197100000653,2,4
100000258,197100000709,2,3
100000259,197100000818,2,4
100000260,197100000681,2,4
100000261,197100000518,1,3
100000262,197100000768,1,4
100000263,197100000755,1,3
100000264,197100000785,1,3
100000265,197100000736,1,2
100000266,197100000648,1,3
100000267,197100000680,2,3
100000268,197100000380,2,2
100000269,197100000427,1,2
100000270,197100000140,2,3
100000271,197100000894,1,3
100000272,197100000660,1,4
100000273,197100000727,2,4
100000274,197100000719,2,4
100000276,197100000786,1,3
100000277,197100000678,2,3
100000278,197100000829,1,1
100000279,197100000208,2,3
100000280,197100000643,2,4
100000281,197100000241,2,4
100000282,197100000581,2,4
100000283,197100000444,1,3
100000284,197100000931,1,3
100000285,197100000718,2,4
100000286,197100000386,2,2
100000287,197100000688,1,2
100000288,197100000619,1,4
100000289,197100000570,1,1
100000290,197100000271,1,2
100000291,197100000553,1,4
100000292,197100000890,1,4
100000293,197100000906,1,3
100000294,197100000876,1,3
100000295,197100000859,2,2
100000296,197100000788,2,4
100000297,197100000377,2,3
100000298,197100000961,1,2
100000299,197100000644,1,4
100000300,197100000403,2,4
100000301,197100000776,2,4
100000302,197100000830,1,4
100000303,197100000919,2,3
100000304,197100000896,1,3
100000305,197100000753,1,2
100000306,197100000425,2,3
100000307,197100000318,1,3
100000308,197100000338,1,3
100000309,197100000214,1,2
100000310,197100000767,1,3
100000311,197100000779,1,4
100000312,197100000808,2,4
100000313,197100000600,2,3
100000315,197100000712,1,4
100000316,197100000710,1,3
100000317,197100000831,2,2
100000318,197100000817,1,3
100000319,197100000611,1,4
100000320,197100000846,1,3
100000321,197100000746,1,4
100000322,197100000922,1,3
100000323,197100000705,1,4
100000324,197100000361,2,2
100000325,197100000589,2,2
100000326,197100000834,2,4
100000327,197100000960,2,3
100000328,197100000601,1,3
